EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1000.0,13.215543,1,316,340.3650848865509,316000,0.0,4.159152,0.08686739206314087,0.011728658,0.08267124,0.08267124
1000.0,13.256485,1,317,341.5081715583801,317000,0.0,4.156027,0.2049664855003357,0.0122260675,0.084254324,0.084254324
1000.0,13.207891,1,318,342.6165316104889,318000,0.0,4.121851,0.3368804454803467,0.0134220645,0.097419016,0.097419016
1000.0,13.156633,1,319,343.7559263706207,319000,0.0,4.1052723,0.245367169380188,0.011458353,0.08159708,0.08159708
1000.0,13.228366,1,320,344.90836906433105,320000,0.0,4.0403924,0.41236698627471924,0.012084123,0.08322407,0.08322407
1000.0,13.1912155,1,321,346.02482080459595,321000,0.0,4.1088476,0.15329068899154663,0.0121217305,0.07918497,0.07918497
1000.0,13.166021,1,322,347.04639506340027,322000,0.0,4.146558,0.2052869200706482,0.014209373,0.08331603,0.08331603
1000.0,13.263823,1,323,348.1946053504944,323000,0.0,4.0593047,0.019474029541015625,0.011140683,0.09265986,0.09265986
1000.0,13.260608,1,324,349.30733919143677,324000,0.0,4.0402384,0.12582117319107056,0.011487442,0.08821456,0.08821456
1000.0,13.193192,1,325,350.4081108570099,325000,0.0,4.041948,0.07254517078399658,0.012760961,0.07484271,0.07484271
1000.0,13.242769,1,326,351.468230009079,326000,0.0,4.0195527,0.14201664924621582,0.011100581,0.079627424,0.079627424
1000.0,13.266683,1,327,352.5761308670044,327000,0.0,4.000742,0.06371426582336426,0.0113763735,0.08160011,0.08160011
1000.0,13.268064,1,328,353.6421389579773,328000,0.0,4.0013065,-0.025241732597351074,0.013035648,0.08215798,0.08215798
1000.0,13.289597,1,329,354.6994640827179,329000,0.0,3.976866,0.13845348358154297,0.011663339,0.08942606,0.08942606
1000.0,13.317087,1,330,355.81236934661865,330000,0.0,4.0093336,0.2077692151069641,0.011216555,0.0784796,0.0784796
