# {"t_start": 1554712622.16341, "env_id": "HalfCheetah-v2"} 
r,l,t
-611.894531,1000,2.20331
-534.98734,1000,3.454997
-652.956885,1000,4.572368
-612.591762,1000,5.705317
-621.512165,1000,6.809023
-628.600225,1000,7.892793
-752.679781,1000,9.016039
-675.963878,1000,10.119596
-664.746729,1000,11.208559
-725.53027,1000,12.2914
-533.721546,1000,13.38472
-582.100316,1000,14.437706
-617.121868,1000,15.509923
-640.950562,1000,16.560354
-740.921271,1000,17.620522
-590.063665,1000,18.732588
-654.974782,1000,19.809802
-574.539477,1000,20.933513
-701.927981,1000,22.026402
-686.172689,1000,23.161267
-629.782292,1000,24.23506
-626.003203,1000,25.315079
-618.105272,1000,26.387225
-631.531413,1000,27.516029
-640.194962,1000,28.641028
-476.085917,1000,29.746106
-565.057694,1000,30.833891
-560.053244,1000,31.913835
-639.250037,1000,33.050085
-652.236987,1000,34.151503
-730.112716,1000,35.24077
-570.618532,1000,36.278746
-605.47749,1000,37.379568
-532.254853,1000,38.481669
-631.91368,1000,39.586843
-597.529379,1000,40.612242
-550.87896,1000,41.714676
-621.359855,1000,42.808848
-592.81446,1000,43.919455
-603.465367,1000,45.018284
-622.643558,1000,46.135724
-579.479113,1000,47.207689
-493.512079,1000,48.176633
-537.282643,1000,49.150873
-501.166917,1000,50.167002
-520.445626,1000,51.21891
-606.636349,1000,52.295612
-541.620121,1000,53.340159
-591.519546,1000,54.420672
-501.521246,1000,55.544713
-513.454777,1000,56.613506
-492.065683,1000,57.675051
-456.444053,1000,58.761276
-473.353375,1000,59.821111
-546.891189,1000,60.861009
-518.402866,1000,61.911438
-518.104943,1000,62.972818
-461.337748,1000,64.0297
-527.120247,1000,65.092175
-465.40338,1000,66.152186
-472.560521,1000,67.201987
-489.177495,1000,68.250881
-424.939449,1000,69.305403
-430.503038,1000,70.350604
-545.652767,1000,71.43675
-455.84111,1000,72.527224
-464.912686,1000,73.585403
-660.006205,1000,74.668853
-428.675898,1000,75.77014
-439.938755,1000,76.854631
-488.816053,1000,77.968592
-497.080413,1000,79.098849
-498.09854,1000,80.206829
-436.325608,1000,81.327142
-409.522096,1000,82.446608
-520.761013,1000,83.508863
-477.288144,1000,84.557261
-365.770967,1000,85.656424
-415.166956,1000,86.744394
-497.523668,1000,87.889946
-385.967272,1000,88.98256
-392.666105,1000,90.060573
-403.931062,1000,91.132344
-374.487271,1000,92.202465
-390.245333,1000,93.30769
-375.92564,1000,94.282113
-371.159373,1000,95.415349
-384.91998,1000,96.543325
-352.604338,1000,97.617662
-349.490546,1000,98.700934
-343.719687,1000,99.812011
-374.159396,1000,100.931311
-366.171954,1000,102.03525
-390.705899,1000,103.155986
-345.753469,1000,104.259515
-333.631338,1000,105.317864
-340.457586,1000,106.395877
-435.478365,1000,107.515895
-365.396317,1000,108.631489
-421.771581,1000,109.76155
-327.779718,1000,110.847268
-316.813584,1000,111.966527
-366.837094,1000,113.076416
-392.788742,1000,114.135316
-296.639634,1000,115.19583
-373.770804,1000,116.317954
-276.882355,1000,117.397195
-299.317374,1000,118.395003
-316.480173,1000,119.487574
-315.522698,1000,120.632906
-319.1031,1000,121.750302
-245.108713,1000,122.836314
-309.188126,1000,123.936398
-362.301661,1000,125.041943
-271.885735,1000,126.124954
-389.291744,1000,127.188648
-389.609084,1000,128.290505
-265.117536,1000,129.398167
-282.024596,1000,130.483674
-309.416623,1000,131.589
-315.941631,1000,132.707115
-277.610058,1000,133.834559
-312.002004,1000,134.896627
-294.256262,1000,136.019272
-389.950817,1000,137.173366
-317.433577,1000,138.275661
-274.080348,1000,139.384153
-333.613572,1000,140.336791
-290.350493,1000,141.44401
-264.073527,1000,142.514489
-261.325711,1000,143.619103
-210.737684,1000,144.721368
-222.060445,1000,145.808053
-187.332994,1000,146.897603
-227.992351,1000,147.964857
-228.271942,1000,149.062469
-276.16286,1000,150.201347
-268.938153,1000,151.321727
-184.548904,1000,152.40671
-228.884653,1000,153.47086
-275.86989,1000,154.580453
-185.663224,1000,155.639398
-151.874871,1000,156.69996
-161.307999,1000,157.713398
-194.452422,1000,158.789718
-247.274061,1000,159.835887
-109.958378,1000,160.91729
-239.32497,1000,162.037318
-222.584349,1000,163.165935
-142.692289,1000,164.249206
-127.339159,1000,165.369843
-174.856945,1000,166.47957
-190.354176,1000,167.592885
-181.73109,1000,168.703144
-132.287188,1000,169.792478
-170.925221,1000,170.891509
-145.533618,1000,171.978062
-162.963866,1000,173.036511
-118.770467,1000,174.155226
-135.572393,1000,175.294917
-115.616597,1000,176.364804
-125.501274,1000,177.433735
-68.048866,1000,178.507025
-143.948095,1000,179.630832
-215.247099,1000,180.738059
-149.168552,1000,181.840697
-78.129718,1000,182.932034
-57.356106,1000,184.018998
-158.014697,1000,185.156948
-110.405495,1000,186.261118
-23.665299,1000,187.203816
12.414829,1000,188.332989
-14.019709,1000,189.417722
19.326759,1000,190.505716
