# {"t_start": 1554705961.3851898, "env_id": "Hopper-v2"} 
r,l,t
7.486058,12,1.240461
8.797679,15,1.256618
9.016297,11,1.269265
13.426182,14,1.283928
9.281522,12,1.295987
6.645784,11,1.3072
7.936247,11,1.318192
3.041011,10,1.328059
8.257942,10,1.341397
7.244522,10,1.352054
10.983364,20,1.370604
13.240316,17,1.387125
12.314121,13,1.400331
6.03947,9,1.409581
22.690922,30,1.438036
17.079373,21,1.458922
7.755879,17,1.476086
6.01455,10,1.485873
7.88062,10,1.495574
33.471571,31,1.525063
7.533133,13,1.537793
16.82906,19,1.555597
27.244011,36,1.589764
15.893082,19,1.608856
17.34553,29,1.639249
8.752635,16,1.655843
34.674912,35,1.69091
13.168588,13,1.704578
10.14152,17,1.721673
12.379699,14,1.736125
15.109553,21,1.757396
5.533121,8,1.765785
15.09674,27,1.79146
10.854853,15,1.805667
12.060088,14,1.81948
13.222853,18,1.836704
9.178566,11,1.848004
24.629939,35,1.882102
7.862159,10,1.891657
7.783891,17,1.908412
5.178247,8,1.91665
18.222613,18,1.933845
7.202045,9,1.942881
9.076538,12,1.954919
30.672797,36,1.99013
74.137694,51,2.038888
5.091446,8,2.046757
6.932059,12,2.058354
10.636978,17,2.075272
5.097988,8,2.083082
8.966309,14,2.096582
42.971087,33,2.127945
8.868272,13,2.140254
10.605748,13,2.153199
7.02279,9,2.161787
11.68048,16,2.17696
7.910181,11,2.187266
6.932355,17,2.203843
5.009274,9,2.21279
17.020493,18,2.231523
7.938752,13,2.53244
17.256365,19,2.552039
39.808793,31,2.583282
15.727336,29,2.613298
6.18616,10,2.623671
93.584883,54,2.681398
7.105418,10,2.692514
6.48167,30,2.724655
11.986272,16,2.741646
24.683346,26,2.769224
13.127349,16,2.786017
10.538557,14,2.801017
5.727799,10,2.811713
77.706644,54,2.867074
16.987464,28,2.896234
21.245479,20,2.917286
13.216171,14,2.931646
8.685918,24,2.956235
9.429982,14,2.970859
97.096188,57,3.030887
3.886209,8,3.039853
8.066214,14,3.054628
9.100681,13,3.068187
58.617839,47,3.116768
50.251163,46,3.162511
29.908343,33,3.196376
11.378276,13,3.210031
8.709296,11,3.221107
11.138611,25,3.247106
11.012663,13,3.261241
14.889845,16,3.278678
51.609921,36,3.315454
6.82819,10,3.326115
80.199714,46,3.373447
21.942932,22,3.395734
9.307226,13,3.408802
26.515883,22,3.430836
5.478202,21,3.451679
16.918177,26,3.478059
22.042901,21,3.499425
36.614866,31,3.530141
7.299245,9,3.539326
11.179332,13,3.552601
105.098555,63,3.772057
5.903171,13,3.78623
36.014412,35,3.82378
21.612137,22,3.84769
37.176951,36,3.884877
16.122414,23,3.909074
11.514685,17,3.926365
19.458954,30,3.957673
22.627257,22,3.980191
13.417865,13,3.993248
8.794562,11,4.004575
18.146626,18,4.023527
43.573514,30,4.055731
26.992652,25,4.081923
12.358582,15,4.097486
25.080378,26,4.124197
12.491793,17,4.141572
7.755242,10,4.151703
110.882405,68,4.221446
11.137587,14,4.238123
30.921567,31,4.27487
15.900587,28,4.307286
20.251488,20,4.330087
20.756784,20,4.353216
8.224873,11,4.366191
13.675141,16,4.384683
216.292875,105,4.501309
13.243225,16,4.518421
18.773976,19,4.539662
25.833297,21,4.563076
6.548391,9,4.573028
6.864188,10,4.584317
81.508679,46,4.633968
8.293665,11,4.646022
9.84422,13,4.65969
13.069886,15,4.676324
132.998456,96,4.785717
26.179965,22,4.810101
22.800322,21,4.834462
17.150409,17,4.854527
46.396861,34,5.031162
19.414207,38,5.070134
52.150358,38,5.10691
24.89312,25,5.131031
35.127238,30,5.161295
10.200862,11,5.172146
8.444045,10,5.181672
52.208469,50,5.230243
59.660116,43,5.271576
18.431155,18,5.289281
13.017293,19,5.308599
7.706201,11,5.319187
16.552943,19,5.337646
81.946561,47,5.382452
17.92972,17,5.398805
66.087431,47,5.44336
6.029582,22,5.464394
36.456949,31,5.493691
62.446671,42,5.533039
23.09949,35,5.565662
18.143539,16,5.580472
88.65158,61,5.639949
17.586332,18,5.658365
9.426977,11,5.669476
16.442704,17,5.686313
14.331595,14,5.699944
41.766045,34,5.733093
24.550909,26,5.75989
22.837636,21,5.780709
20.432455,21,5.801297
31.883893,29,5.829993
39.644371,50,5.880908
132.47611,71,5.954613
27.193645,29,5.984991
7.233028,12,5.997231
34.060542,38,6.161977
6.857235,13,6.173874
97.177381,55,6.223335
8.923575,11,6.234145
93.747759,57,6.289828
20.86246,21,6.310728
60.449953,37,6.344256
37.488901,32,6.372552
104.376212,65,6.430707
132.800208,72,6.493749
111.462875,61,6.551442
5.60546,18,6.568432
18.56052,22,6.587845
13.310694,16,6.602001
17.14813,26,6.624934
31.792678,27,6.649716
6.627398,9,6.658126
56.849409,42,6.699785
57.131849,33,6.731792
16.855703,18,6.750166
60.612454,38,6.785641
185.623469,94,6.876448
106.167107,65,6.936744
