# {"t_start": 1554703684.6880298, "env_id": "Hopper-v2"} 
r,l,t
5.972124,14,1.25772
11.222295,16,1.274163
17.076227,32,1.307183
8.465331,12,1.31928
8.811078,13,1.332687
12.675352,14,1.348746
12.864183,14,1.364333
10.294445,25,1.391436
6.987799,10,1.402119
15.016589,24,1.427586
17.55049,24,1.453066
17.727954,18,1.471974
14.088742,25,1.498886
11.903923,12,1.511555
8.138446,11,1.522913
11.877949,15,1.538638
14.632916,17,1.556301
13.791048,17,1.573858
20.16369,25,1.599648
18.630713,24,1.624166
17.281633,25,1.648996
10.480672,18,1.666774
11.735465,14,1.680694
7.361238,14,1.694484
8.202839,12,1.70643
14.577268,18,1.724743
6.982362,11,1.735467
6.318229,22,1.757299
28.927463,27,1.783719
5.667076,10,1.793844
12.779111,16,1.80918
10.04255,12,1.820793
20.717569,23,1.844584
14.446826,18,1.863401
18.762805,20,1.883586
8.33185,11,1.895035
12.573135,25,1.921984
8.803765,12,1.935325
6.339781,9,1.944352
9.616958,13,1.957091
8.326,14,1.970975
10.251809,18,1.989397
28.116936,25,2.014463
24.859852,33,2.048946
16.027375,16,2.06683
20.211538,18,2.08538
17.515133,19,2.105046
30.892524,29,2.135105
5.686282,14,2.149433
8.89475,28,2.177146
24.187385,22,2.199345
7.822906,15,2.215866
28.869291,24,2.240808
8.440886,12,2.252909
19.780425,23,2.275975
4.175269,20,2.294069
17.730101,24,2.590647
7.688686,10,2.601329
10.376552,14,2.61582
76.540993,46,2.661691
20.006015,33,2.693129
22.771525,20,2.71312
5.255984,10,2.723286
10.629484,12,2.735065
6.115088,9,2.744075
22.95441,23,2.766925
10.736932,26,2.792397
79.308948,45,2.835589
11.351671,15,2.850267
7.95607,12,2.862193
21.8513,29,2.89028
11.96463,17,2.907211
14.65306,14,2.920931
6.618888,9,2.930042
31.391197,48,2.977588
36.401952,33,3.01042
10.25444,25,3.034819
66.350095,40,3.074297
9.418003,17,3.091267
37.974432,31,3.121129
7.520368,11,3.132099
10.861718,12,3.144245
9.302429,12,3.156369
7.886979,23,3.179249
11.509381,16,3.195111
19.728769,21,3.216251
113.221644,58,3.272859
10.837505,13,3.285096
14.86023,15,3.298571
17.984872,18,3.315399
10.424182,25,3.340007
7.455083,9,3.349168
7.167432,16,3.365391
5.830525,10,3.37557
18.102236,20,3.395449
82.114298,50,3.444189
15.274631,27,3.470913
8.188775,13,3.484294
15.094951,18,3.50215
9.620634,13,3.515211
8.572511,12,3.52721
16.807788,23,3.549509
10.758519,18,3.56736
10.757618,16,3.720819
22.942624,35,3.75641
102.814228,65,3.820631
8.497174,12,3.831198
22.400898,22,3.851072
34.537886,29,3.878228
20.315415,23,3.900493
24.411522,27,3.926484
9.520169,25,3.951547
22.842971,23,3.975305
150.526741,76,4.050964
22.043647,23,4.074264
16.34139,22,4.095748
11.356925,15,4.110252
18.606873,22,4.132922
23.03641,24,4.157601
18.518179,28,4.185499
14.663952,17,4.202888
11.329222,30,4.234089
40.330454,30,4.266046
16.253093,20,4.286111
30.253892,31,4.315499
7.04987,13,4.328453
46.138019,28,4.358585
7.967753,10,4.369458
20.234182,24,4.394526
13.687187,16,4.410471
10.801662,13,4.423685
24.882223,24,4.447519
41.571864,31,4.478343
26.437062,24,4.502423
25.6149,27,4.529543
51.097426,35,4.563848
146.265891,73,4.637832
7.998257,10,4.647802
13.308629,16,4.663565
5.276377,8,4.671836
8.751218,12,4.68392
7.198563,29,4.713821
8.654929,13,4.726941
20.876391,24,4.911476
15.006089,14,4.926754
26.92518,27,4.954721
15.839852,23,4.979135
11.671468,36,5.016093
35.442231,36,5.051803
8.397038,10,5.061981
4.609312,9,5.071286
69.68656,42,5.114963
84.685939,49,5.164309
21.03173,27,5.191816
100.690098,56,5.251146
71.164976,46,5.297621
92.198598,52,5.347036
19.624999,20,5.367178
10.400557,11,5.378963
27.794696,32,5.411986
11.001829,18,5.430494
10.131827,12,5.443037
10.446127,12,5.454914
14.98899,24,5.479577
33.456219,32,5.512494
9.408255,15,5.527884
50.448151,30,5.559602
40.425674,42,5.604622
19.714162,18,5.624237
14.160427,18,5.643225
5.098114,9,5.652884
10.218722,13,5.667047
13.4205,31,5.699598
13.3387,14,5.714314
176.299998,101,5.822378
139.787334,70,5.894586
6.869697,10,5.90538
31.233009,38,5.945285
83.32022,56,6.131651
58.071438,36,6.164479
44.937042,35,6.196636
16.718395,16,6.21084
40.62462,42,6.249511
10.057816,13,6.261401
21.999461,27,6.285743
25.573182,51,6.333762
94.917815,56,6.38706
9.597223,35,6.420697
10.144928,14,6.434645
16.031953,18,6.451579
14.566762,36,6.487905
5.70637,10,6.498146
42.376751,38,6.536705
38.717787,39,6.576298
118.179837,85,6.659937
19.915741,26,6.685193
42.319229,32,6.716052
12.452382,14,6.730247
9.309033,12,6.743144
51.241407,31,6.773142
34.645702,30,6.802159
7.084151,11,6.813158
100.293547,67,6.877122
8.914742,11,6.887453
102.120096,56,6.944062
15.889358,16,6.961075
126.656648,82,7.044811
196.332762,116,7.29525
133.634938,75,7.369103
125.876903,64,7.429967
95.324243,52,7.480303
140.021294,71,7.551557
44.72678,42,7.594574
120.289518,66,7.662475
17.51854,26,7.689622
157.465319,99,7.787749
68.153011,43,7.831521
28.520359,35,7.866656
196.389101,97,7.960196
164.236651,95,8.050021
134.716635,71,8.118865
88.181494,66,8.183565
