# {"t_start": 1554704818.182025, "env_id": "Hopper-v2"} 
r,l,t
16.258822,18,1.254483
4.446474,8,1.263677
9.859888,13,1.277498
17.111533,20,1.298955
9.844149,14,1.313427
8.497774,14,1.328196
16.738674,20,1.349229
8.05204,10,1.359561
14.901772,15,1.373625
8.968021,12,1.385137
10.490992,15,1.399662
25.052591,22,1.422149
28.992855,25,1.44793
73.339752,49,1.497796
6.127077,9,1.507395
13.674951,15,1.522459
41.841992,43,1.566045
12.822596,13,1.579054
7.138602,15,1.594454
6.260948,11,1.60563
6.735608,9,1.614971
13.759956,16,1.631347
6.737414,15,1.64705
14.476073,18,1.665187
14.444914,26,1.69158
5.866372,8,1.699451
11.976157,18,1.717793
11.895599,20,1.737881
11.291266,16,1.754164
10.854149,19,1.773236
38.001478,49,1.822619
7.259009,29,1.851005
10.597504,12,1.863223
12.239236,21,1.884207
13.347284,17,1.901149
7.316981,28,1.926071
13.694954,15,1.939257
8.226185,15,1.952854
25.903102,26,1.976166
9.031685,18,1.992557
7.488233,10,2.001989
24.956555,27,2.02681
11.737688,27,2.051246
14.446304,17,2.066293
16.374386,25,2.089824
5.79756,12,2.101068
8.845533,11,2.111115
19.834748,22,2.13163
8.080178,11,2.141368
6.978064,10,2.150496
10.185058,32,2.179383
18.35921,36,2.211445
96.288454,63,2.543618
18.201222,26,2.568764
27.443095,23,2.590587
38.640388,34,2.623326
10.768486,13,2.635383
16.936019,19,2.65407
8.223366,11,2.664815
21.079343,20,2.684003
13.794442,32,2.714898
6.265967,9,2.724026
9.915269,12,2.735988
9.059381,15,2.751004
7.211118,11,2.761731
14.806279,16,2.777302
12.99937,17,2.794289
10.885234,12,2.806115
40.913634,31,2.836414
10.414528,25,2.861106
28.235931,26,2.887075
10.453544,15,2.901615
10.246936,15,2.91652
15.942181,17,2.933346
25.026065,30,2.963101
135.104837,74,3.034652
44.936961,30,3.064044
9.43941,21,3.084528
8.860497,15,3.099078
6.941936,10,3.10866
11.498633,14,3.122131
22.467986,21,3.142359
14.810877,33,3.174168
14.268024,18,3.191575
16.947064,22,3.213053
11.270305,14,3.226806
13.430213,27,3.25316
12.014432,32,3.284487
6.423899,12,3.296191
9.715748,14,3.309779
8.623059,10,3.319463
14.967754,18,3.336755
30.405548,26,3.361827
67.49701,47,3.406635
5.988988,16,3.422347
49.960002,36,3.45842
14.86963,18,3.478289
5.172271,12,3.491464
5.984613,14,3.506717
11.036055,16,3.669106
10.231122,13,3.682596
44.970232,50,3.733965
96.100976,60,3.796143
63.98567,51,3.849009
74.569139,47,3.898102
17.95901,19,3.917851
8.380852,11,3.929525
33.564439,34,3.964437
52.662633,39,4.004818
13.916093,22,4.027809
64.8363,45,4.073403
15.246174,17,4.090871
79.394323,46,4.138237
97.331742,61,4.200593
7.650778,10,4.210695
7.779143,19,4.230549
71.328367,66,4.297352
106.082693,76,4.37518
10.431585,17,4.392861
10.563843,12,4.405412
11.798012,15,4.421334
4.647677,11,4.432826
12.902952,18,4.451426
154.35887,112,4.566635
22.027025,21,4.588583
11.858914,18,4.606341
12.419035,29,4.634629
43.127118,26,4.660401
5.778297,9,4.669262
7.450613,15,4.683898
9.296319,16,4.699781
8.924812,12,4.864772
21.165228,19,4.883691
56.507794,34,4.91765
56.552463,34,4.951626
11.542542,15,4.967147
6.705396,10,4.977138
7.147594,12,4.989156
49.314684,49,5.037962
20.475317,28,5.065899
11.177618,19,5.084661
24.630174,28,5.112833
11.457781,18,5.130715
10.680234,14,5.144615
10.385719,29,5.173106
11.488635,17,5.190025
10.742473,13,5.202994
12.207063,27,5.229968
35.50373,29,5.258484
25.417348,34,5.292356
10.091554,15,5.30749
60.558017,72,5.379335
15.365015,14,5.393689
26.965447,38,5.431755
51.367401,31,5.462763
17.555532,19,5.481796
103.582989,75,5.556742
30.626865,29,5.585411
22.755938,23,5.609024
46.340419,28,5.636946
89.266831,59,5.696455
116.025107,60,5.758324
21.055201,26,5.783976
12.756222,14,5.798468
9.295669,11,5.810207
8.82286,17,5.826864
46.694276,36,5.862422
109.466956,73,6.082098
17.545907,18,6.100819
81.98213,47,6.148702
108.854245,85,6.234737
15.340171,17,6.251664
188.983469,92,6.342165
58.333742,35,6.376799
35.647897,36,6.411069
85.15303,77,6.485975
85.04955,52,6.536387
63.685496,37,6.573565
71.612274,42,6.614774
29.094349,24,6.637994
13.401559,15,6.653042
18.4959,31,6.683891
108.650963,79,6.763582
6.484329,9,6.773001
18.653069,24,6.798608
20.31733,18,6.81737
144.682387,90,6.90988
159.034246,81,6.992529
28.009076,42,7.036568
26.900391,35,7.214882
57.269802,34,7.248491
104.618174,65,7.311531
30.02887,32,7.343198
115.086454,62,7.402674
102.943881,77,7.481642
144.148817,74,7.554723
7.286435,12,7.566625
48.407455,33,7.598926
32.383895,25,7.624133
53.840594,38,7.661065
85.071285,51,7.711062
102.422108,78,7.792746
12.27497,13,7.806164
127.329152,73,7.876932
82.203405,48,7.927339
100.762206,73,8.001513
9.089754,19,8.021729
7.574746,12,8.034583
87.711339,58,8.09409
11.96332,14,8.109027
67.025825,39,8.148261
30.125147,24,8.171815
32.994409,32,8.204875
43.076749,32,8.385268
120.706144,65,8.450723
60.920351,37,8.489174
80.058813,47,8.538021
62.57605,44,8.584149
65.818124,39,8.624606
192.384608,101,8.725649
131.345041,73,8.798326
63.043964,40,8.837966
147.785451,84,8.919787
75.471518,44,8.964385
66.606575,38,9.003273
59.828798,36,9.040694
22.923224,19,9.059786
62.157801,36,9.095716
65.904046,39,9.136262
56.636176,33,9.170447
229.78784,118,9.28668
20.123711,19,9.30584
168.892692,98,9.401331
106.737297,72,9.61605
82.363912,48,9.663848
238.742728,109,9.774775
120.517847,64,9.839273
149.115513,75,9.909399
204.519628,100,10.009697
109.166217,61,10.071902
101.736993,62,10.134033
65.07286,38,10.172532
97.46822,61,10.234363
180.837427,87,10.322257
87.948551,53,10.374923
69.027553,40,10.415082
19.661292,35,10.451139
96.427411,55,10.509369
195.442832,118,10.76405
241.672421,125,10.889601
56.915311,35,10.924866
142.141048,73,10.999257
141.388929,72,11.071745
146.616103,87,11.155631
66.130684,39,11.194705
220.85169,97,11.291862
80.558436,48,11.33591
205.921212,97,11.427104
98.434125,58,11.481215
193.485618,95,11.571368
20.526791,23,11.592768
225.465734,103,11.689037
73.483061,43,11.86521
223.436465,102,11.969723
71.865208,43,12.014527
147.20418,80,12.095288
81.591279,47,12.143461
178.531542,89,12.23315
125.477048,78,12.311797
68.284602,41,12.35312
72.05118,42,12.396528
152.19522,73,12.466958
145.844838,76,12.541603
80.181971,50,12.590693
119.326896,63,12.652965
128.074914,76,12.728553
124.13762,68,12.796792
75.015137,43,12.840601
209.778421,101,13.071295
142.373837,80,13.150999
230.379772,119,13.266174
13.889001,16,13.281885
67.94528,46,13.326068
158.636348,85,13.409687
67.030664,39,13.447644
63.612978,37,13.484212
260.66821,139,13.614002
191.376581,95,13.711775
140.691994,75,13.788434
96.266586,66,13.856591
155.577525,85,13.944277
230.543513,116,14.225281
222.959538,99,14.326066
216.040021,104,14.428816
141.100892,81,14.513918
222.781539,100,14.615643
52.112224,32,14.65021
196.047518,94,14.746722
212.376529,111,14.85196
79.105461,46,14.897904
194.280752,102,14.999141
245.256972,121,15.118845
236.231831,125,15.376775
223.384253,128,15.505764
227.935015,108,15.615892
213.566364,110,15.726575
235.422659,104,15.825501
231.862654,113,15.930241
248.121552,125,16.051016
70.607128,40,16.092699
213.767372,124,16.215369
229.901359,111,16.328982
228.42982,105,16.567134
251.636553,114,16.680038
257.323168,122,16.799351
88.502344,51,16.850158
234.156184,109,16.960656
180.623742,90,17.050452
261.273322,119,17.166431
115.266485,74,17.239566
244.2327,116,17.353026
258.610241,132,17.486804
180.731061,93,17.714062
228.521564,128,17.83346
221.069793,109,17.934396
201.071802,108,18.033945
219.333964,122,18.14812
303.411036,137,18.2751
230.197466,104,18.371352
220.571627,110,18.472646
247.050935,115,18.578766
288.303472,151,18.854614
248.843355,113,18.959059
269.352045,128,19.077159
62.402101,38,19.112741
241.820418,112,19.216612
252.24364,118,19.325106
229.987005,114,19.43302
238.294414,117,19.551139
271.484741,135,19.686032
222.451061,114,19.944604
280.246406,135,20.077058
272.857449,136,20.208378
232.32289,108,20.313847
208.332511,111,20.421865
276.042382,127,20.542463
275.837083,127,20.662184
287.8679,134,20.793726
212.054461,102,21.029013
243.073735,116,21.146752
234.063979,116,21.258914
215.054925,100,21.352082
195.560295,104,21.450431
308.641124,144,21.588261
287.858697,127,21.712987
277.255392,125,21.842716
251.488986,117,21.960971
250.977023,122,22.217862
172.675622,96,22.310967
273.050101,139,22.444125
161.559212,87,22.529328
242.074052,118,22.6493
246.97858,112,22.762121
250.867597,120,22.882886
220.600242,105,22.989025
318.081164,141,23.137884
291.357495,128,23.410216
326.735734,153,23.561202
293.61576,131,23.691932
296.923448,136,23.828633
245.225912,116,23.948585
247.85921,124,24.078877
217.816446,106,24.19208
270.402617,120,24.317652
317.701426,148,24.602499
291.43873,133,24.741776
288.131142,122,24.868381
338.85547,172,25.047433
349.133595,178,25.235365
256.295051,124,25.367674
230.328419,108,25.48075
299.223111,141,25.770834
276.9709,135,25.907758
302.777147,132,26.039882
190.949159,90,26.131542
156.550853,79,26.210951
147.124499,85,26.294403
289.901982,155,26.445782
312.38114,143,26.591145
287.166439,147,26.901005
302.164897,132,27.032557
233.848534,105,27.135294
301.52974,150,27.282388
309.487648,143,27.431224
284.448773,133,27.564714
282.041258,124,27.68559
295.004622,123,27.805603
281.073285,140,28.080651
293.508977,139,28.218692
278.280074,148,28.371027
318.762195,137,28.512445
97.827765,57,28.57109
299.483294,148,28.723882
285.730953,125,28.852988
272.730179,117,28.973205
279.731301,127,29.261563
290.294647,130,29.393988
294.56015,153,29.553229
65.293977,40,29.59512
287.735688,125,29.72426
292.555328,141,29.870743
286.39836,123,29.998627
250.692907,118,30.122427
291.111972,127,30.25375
225.80482,103,30.51061
306.230959,133,30.649077
293.285286,138,30.793985
293.009082,130,30.928363
242.192601,111,31.040509
275.73928,133,31.177077
284.777806,131,31.306211
275.486455,141,31.450827
321.170418,156,31.749919
266.531046,142,31.893934
318.035513,153,32.050279
222.794991,127,32.178394
333.274612,155,32.328187
297.093706,132,32.454301
310.127087,134,32.589803
235.270314,113,32.853348
242.713317,115,32.972343
119.465754,64,33.038494
269.499415,118,33.16032
234.628349,109,33.272545
309.36458,150,33.426986
258.378199,118,33.548345
263.64516,136,33.689617
277.430392,122,33.815384
279.543644,120,34.102006
300.272225,137,34.24404
324.902666,158,34.405705
164.565073,84,34.492697
274.733018,117,34.613845
258.777071,121,34.737428
313.410601,134,34.871026
257.075844,142,35.016663
324.421202,136,35.297144
284.701551,120,35.42461
295.876354,131,35.56383
315.9203,144,35.719208
318.379771,145,35.872518
322.085287,145,36.025263
262.820764,124,36.154953
234.035952,120,36.281556
332.807931,159,36.580683
283.309978,124,36.704717
304.316036,138,36.84334
299.477238,129,36.975731
291.039673,131,37.110762
274.527723,123,37.231502
272.675742,142,37.364767
291.339201,124,37.6276
316.187126,158,37.790843
277.148664,123,37.913428
294.948021,129,38.042864
213.571339,104,38.148568
286.664808,129,38.272178
324.7814,139,38.402579
300.541782,128,38.532762
316.816658,133,38.795524
306.017912,136,38.927222
265.617554,134,39.060107
327.283492,148,39.206449
284.466244,134,39.339031
306.174482,141,39.469981
302.3923,135,39.604046
289.234162,127,39.734976
318.294229,135,40.008276
307.230869,139,40.152997
311.123683,130,40.288682
299.131116,130,40.421944
295.975105,127,40.552161
316.835547,137,40.692657
308.784134,140,40.837654
292.875587,130,41.11025
293.110626,123,41.23006
305.491227,131,41.350563
296.955861,128,41.476044
309.472496,135,41.604447
308.449175,132,41.724216
356.352777,171,41.895201
335.912984,154,42.043422
310.09147,132,42.293129
284.554696,125,42.405
310.565921,132,42.539713
326.981043,133,42.677991
331.259722,149,42.827313
297.689517,130,42.95895
332.468358,141,43.101969
317.394706,138,43.39391
311.642653,130,43.526673
315.606866,136,43.664777
305.922809,130,43.801784
299.061448,129,43.936486
325.481628,139,44.078762
231.950998,110,44.193951
