# {"t_start": 1554711537.0148382, "env_id": "HalfCheetah-v2"} 
r,l,t
-578.899048,1000,2.146884
-668.417051,1000,3.363228
-675.717048,1000,4.466843
-642.64237,1000,5.558408
-618.883147,1000,6.576797
-561.899189,1000,7.630876
-653.963322,1000,8.748384
-662.314908,1000,9.845935
-473.946009,1000,10.936447
-592.719585,1000,12.001349
-396.301729,1000,13.096919
-549.09156,1000,14.202508
-500.223411,1000,15.2463
-594.027961,1000,16.298502
-664.787336,1000,17.410725
-564.596412,1000,18.50115
-706.888846,1000,19.545887
-530.00701,1000,20.617808
-541.262064,1000,21.745171
-593.511867,1000,22.803419
-558.431616,1000,23.878149
-486.246477,1000,25.012323
-568.976414,1000,26.134706
-602.246604,1000,27.247813
-571.928079,1000,28.354319
-528.417718,1000,29.476483
-505.385496,1000,30.608682
-489.270424,1000,31.720901
-552.556987,1000,32.821325
-629.472459,1000,33.885514
-531.948902,1000,34.983342
-521.904482,1000,36.06426
-507.143496,1000,37.157138
-488.352583,1000,38.239224
-472.80444,1000,39.266889
-562.989839,1000,40.350476
-513.24538,1000,41.450895
-608.108714,1000,42.559074
-513.230066,1000,43.602077
-636.574352,1000,44.692811
-433.098862,1000,45.724257
-520.331481,1000,46.758369
-543.090627,1000,47.711299
-469.903211,1000,48.743478
-604.809258,1000,49.751292
-504.241217,1000,50.824947
-647.345843,1000,51.839566
-534.480213,1000,52.909415
-485.914167,1000,53.964943
-543.31661,1000,55.035307
-458.220921,1000,56.099934
-492.986781,1000,57.197497
-526.041519,1000,58.331344
-532.656815,1000,59.448556
-352.97322,1000,60.57093
-453.588303,1000,61.67752
-364.557139,1000,62.798044
-488.570414,1000,63.884458
-412.991492,1000,64.984458
-427.645208,1000,66.047879
-462.861952,1000,67.132869
-500.342894,1000,68.209904
-546.343516,1000,69.33211
-500.731831,1000,70.427496
-485.07732,1000,71.524343
-470.108094,1000,72.633983
-280.607188,1000,73.77273
-479.881817,1000,75.059239
-399.161868,1000,76.098273
-442.269395,1000,77.191713
-467.299548,1000,78.231761
-383.954859,1000,79.337613
-453.507822,1000,80.442337
-294.016082,1000,81.539905
-347.570743,1000,82.638689
-215.507123,1000,83.715517
-314.410104,1000,84.768685
-542.833755,1000,85.813374
-432.104956,1000,86.867271
-513.287496,1000,87.961771
-368.998703,1000,89.104601
-448.191894,1000,90.230189
