# {"t_start": 1554710454.3525774, "env_id": "HalfCheetah-v2"} 
r,l,t
-577.176572,1000,2.160663
-397.628739,1000,3.319441
-523.433224,1000,4.367676
-677.103279,1000,5.454257
-642.711,1000,6.542661
-793.545059,1000,7.607987
-746.888248,1000,8.7172
-682.53231,1000,9.782778
-529.678995,1000,10.870776
-692.224751,1000,11.970595
-569.00885,1000,13.02738
-618.628288,1000,14.099466
-645.88515,1000,15.212257
-525.343805,1000,16.308566
-634.82101,1000,17.322951
-649.279188,1000,18.42909
-492.281677,1000,19.528878
-552.543983,1000,20.54866
-619.593185,1000,21.631883
-487.581514,1000,22.689042
-589.302594,1000,23.793798
-523.827387,1000,24.877641
-500.015127,1000,25.953298
-772.827844,1000,27.006002
-580.293632,1000,28.091991
-596.730217,1000,29.141499
-509.097226,1000,30.208477
-585.901159,1000,31.273554
-446.080499,1000,32.317208
-504.302646,1000,33.391057
-497.321824,1000,34.410545
-523.25899,1000,35.454443
-546.652671,1000,36.559111
-544.027094,1000,37.611401
-481.450968,1000,38.601433
-552.480309,1000,39.574682
-535.497201,1000,40.614445
-418.984102,1000,41.746083
-571.242639,1000,42.885063
-439.589457,1000,43.971184
-485.105029,1000,45.045604
-453.594734,1000,46.14604
-383.7095,1000,47.076765
-440.528389,1000,48.13954
-463.932497,1000,49.173147
-518.113968,1000,50.191421
-461.38107,1000,51.242783
-571.34559,1000,52.334944
-498.579914,1000,53.456687
-353.890575,1000,54.565736
-451.169668,1000,55.612927
-544.603987,1000,56.68362
-562.195967,1000,57.722219
-322.438586,1000,58.809772
-341.96664,1000,59.897052
-443.43794,1000,60.995763
-272.356159,1000,62.065384
-518.286461,1000,63.132522
-476.798967,1000,64.210662
-467.633161,1000,65.278847
-484.717606,1000,66.322232
-523.277318,1000,67.38482
-385.836305,1000,68.478728
-468.03625,1000,69.581175
-526.619646,1000,70.654976
-319.902797,1000,71.716925
-415.164793,1000,72.728925
-371.502627,1000,73.794776
-423.820027,1000,74.861873
-370.324386,1000,75.960121
-464.787588,1000,77.032342
-444.963133,1000,78.143467
-488.670225,1000,79.266557
-485.840609,1000,80.342093
-396.839463,1000,81.409975
-280.601787,1000,82.526511
-334.026477,1000,83.567988
-420.719554,1000,84.62995
-353.541848,1000,85.693836
-402.975265,1000,86.79178
-298.182595,1000,87.850908
-516.614961,1000,88.958643
-329.039874,1000,90.037131
-490.090335,1000,91.103686
-263.029991,1000,92.203491
-259.842914,1000,93.1587
-369.585977,1000,94.248081
-301.429163,1000,95.327133
-220.263987,1000,96.456231
-261.276344,1000,97.567374
-314.482558,1000,98.660179
-146.592735,1000,99.754046
-225.072694,1000,100.872194
-232.007076,1000,101.927472
-286.015979,1000,103.001673
-405.699824,1000,104.092028
-221.575806,1000,105.155993
-236.53218,1000,106.238029
-214.829185,1000,107.312144
-117.489771,1000,108.376411
-273.2022,1000,109.429858
-101.895224,1000,110.48764
-110.088867,1000,111.571367
-103.35699,1000,112.661965
-394.603065,1000,113.706837
-220.104671,1000,114.756047
-347.700075,1000,115.785291
-10.237813,1000,116.824663
-221.138462,1000,117.886414
-103.454536,1000,118.952325
-179.594108,1000,120.03154
-71.965403,1000,121.260032
-83.851131,1000,122.325427
-132.420145,1000,123.395263
-540.741006,1000,124.473181
35.040602,1000,125.524
-78.154833,1000,126.576234
-397.803787,1000,127.659889
-567.993496,1000,128.719714
-168.487188,1000,129.765211
-59.522826,1000,130.824648
-170.383041,1000,131.89452
-62.113676,1000,132.979766
-273.045581,1000,134.066182
-38.944555,1000,135.155635
-124.129544,1000,136.280496
-186.136492,1000,137.418187
2.012454,1000,138.384996
-243.698314,1000,139.467366
-202.915904,1000,140.571576
-46.663899,1000,141.635814
