# {"t_start": 1554707093.4623113, "env_id": "Hopper-v2"} 
r,l,t
8.14784,27,1.257393
17.297997,22,1.281464
5.812447,11,1.293543
19.362963,20,1.314541
4.582911,16,1.3318
19.408475,19,1.352434
5.385117,9,1.361553
13.317285,16,1.37704
11.757157,18,1.394052
5.957307,11,1.404743
11.866267,13,1.417095
12.05738,13,1.430083
7.286453,29,1.458676
27.745776,24,1.48153
11.263625,16,1.496828
12.73329,25,1.521083
13.163252,21,1.541693
8.880563,16,1.557072
7.595267,12,1.569088
6.783631,11,1.579385
9.954611,27,1.604331
10.430163,11,1.614797
4.542786,9,1.624131
12.742751,17,1.640475
7.779525,12,1.652209
7.29335,11,1.66263
11.535046,15,1.676592
12.256106,13,1.688744
11.486934,23,1.712136
5.633015,15,1.727524
9.138622,12,1.739544
13.792025,16,1.756244
5.731943,8,1.76428
16.108737,15,1.780138
13.987772,23,1.804239
10.645846,25,1.829918
11.585803,16,1.846164
5.224357,16,1.863138
4.963801,22,1.884613
19.937494,24,1.908014
12.031211,15,1.922287
8.740738,15,1.936622
28.703383,25,1.961241
16.667963,19,1.980208
8.021751,13,1.993431
16.737497,27,2.020339
13.06716,13,2.032758
15.888575,21,2.053255
11.856479,17,2.070091
6.659018,11,2.080579
8.288847,17,2.096274
9.157119,15,2.110935
26.665429,22,2.132027
16.368262,17,2.147882
32.413779,33,2.181396
6.627058,11,2.192794
7.366123,10,2.202728
12.629906,15,2.217479
9.98945,15,2.233018
14.680781,20,2.54477
25.902671,39,2.584607
25.929551,30,2.615716
34.080125,41,2.658252
14.117395,23,2.681629
8.785061,25,2.706551
21.500951,27,2.733805
19.938291,26,2.761772
22.045123,20,2.78224
12.470638,16,2.798831
11.390917,14,2.812625
21.763968,19,2.83231
18.890067,25,2.857571
7.972363,12,2.86958
22.355292,26,2.895524
41.174082,29,2.924996
5.332216,8,2.933242
51.496565,48,2.982133
7.992992,10,2.992868
9.352989,23,3.01591
43.063963,36,3.052396
7.653144,15,3.067408
30.193442,40,3.107351
12.564976,16,3.123783
7.86256,10,3.134315
39.525733,45,3.181698
9.074475,18,3.200096
24.256238,32,3.232459
9.572122,15,3.247865
13.03355,15,3.263906
10.572429,22,3.286616
43.683322,43,3.329129
11.335249,17,3.346064
11.740547,13,3.359054
8.648165,26,3.386205
8.830426,19,3.406387
15.182216,23,3.430095
8.970696,12,3.442606
27.1856,24,3.467667
11.986226,25,3.493928
28.772865,32,3.52572
8.023897,12,3.537753
6.771752,14,3.551591
71.722806,77,3.768208
39.079156,38,3.80485
12.359469,20,3.824268
14.759446,16,3.840365
15.457,18,3.859192
9.355115,16,3.875888
31.114028,33,3.910517
88.216283,63,3.975256
12.794818,14,3.98998
17.3751,18,4.008298
23.931319,23,4.032375
19.015353,20,4.052978
42.815806,42,4.094087
30.468614,39,4.132545
8.914287,13,4.146685
9.381044,11,4.158633
9.414825,12,4.171282
27.094129,33,4.206319
60.549228,73,4.282792
24.204668,22,4.304924
12.6664,16,4.321328
9.872681,25,4.346838
72.559724,68,4.417225
10.052648,17,4.434693
10.741545,21,4.455784
12.176686,30,4.485607
21.957936,24,4.510176
31.943882,33,4.543741
8.610168,13,4.557292
7.97098,13,4.570533
45.136,35,4.604523
35.880114,30,4.63562
26.526406,37,4.671014
32.376552,46,4.717544
21.192347,25,4.742852
80.95004,54,4.921592
26.868159,28,4.945969
44.218943,36,4.978154
11.232714,14,4.990842
15.22504,28,5.017431
20.553506,26,5.040893
16.567343,18,5.056763
20.783563,21,5.07536
26.078725,24,5.097553
15.767892,17,5.113372
13.567822,21,5.133676
47.065636,49,5.179114
121.304987,66,5.241415
86.208083,77,5.314218
30.597851,32,5.345222
18.710067,17,5.361739
