# {"t_start": 1554713711.1527278, "env_id": "HalfCheetah-v2"} 
r,l,t
-784.290769,1000,2.195682
-623.115373,1000,3.402838
-714.609639,1000,4.509727
-611.3643,1000,5.615848
-555.099785,1000,6.711486
-638.083526,1000,7.774734
-605.448376,1000,8.845001
-783.009705,1000,9.896279
-491.53707,1000,10.980913
-635.150833,1000,12.043217
-582.276388,1000,13.120429
-545.312675,1000,14.159168
-657.324465,1000,15.289855
-669.068077,1000,16.39981
-694.952144,1000,17.514472
-714.566514,1000,18.631773
-808.270102,1000,19.753345
-655.635723,1000,20.875024
-654.385082,1000,21.978292
-831.367631,1000,23.062707
-747.789758,1000,24.133728
-678.036194,1000,25.192791
-624.612995,1000,26.253598
-637.745608,1000,27.344162
-647.160367,1000,28.478026
-644.720437,1000,29.565068
-642.330269,1000,30.709162
-505.337673,1000,31.842381
-584.358274,1000,32.981213
-630.877899,1000,34.119449
-612.934094,1000,35.191092
-708.561062,1000,36.263547
-660.057503,1000,37.337475
-686.093831,1000,38.451341
-509.210439,1000,39.519663
-494.316525,1000,40.566231
-666.697472,1000,41.681321
-677.441313,1000,42.780667
-685.007855,1000,43.860653
-552.503385,1000,44.948894
-540.867026,1000,46.000292
-651.638461,1000,47.043176
-613.801735,1000,47.994332
-536.532483,1000,49.067536
-547.979824,1000,50.170363
-520.266249,1000,51.26365
-542.794208,1000,52.378473
-440.743071,1000,53.480822
-557.978474,1000,54.559045
-503.560058,1000,55.64489
-499.501484,1000,56.74076
-554.582388,1000,57.811581
-543.87987,1000,58.905227
-485.028012,1000,60.016264
-640.354282,1000,61.096741
-507.332471,1000,62.165105
-553.92436,1000,63.282343
-494.27293,1000,64.398282
-502.14522,1000,65.514095
-410.172703,1000,66.59842
-523.689908,1000,67.697161
-553.621453,1000,68.787353
-552.1129,1000,69.930257
-485.083514,1000,71.03527
-498.36705,1000,72.140979
-503.609142,1000,73.272123
-484.097677,1000,74.378973
-475.541465,1000,75.505381
-525.312422,1000,76.65209
-494.063537,1000,77.765448
-514.938999,1000,78.834865
-441.525515,1000,79.93208
-461.281113,1000,81.047653
-456.562434,1000,82.194076
-482.364526,1000,83.279778
-463.515024,1000,84.366261
-474.331788,1000,85.463545
-470.687819,1000,86.565316
-435.167412,1000,87.668755
-507.137307,1000,88.773881
-499.764706,1000,89.871964
-442.970177,1000,91.009496
-398.618163,1000,92.124624
-391.276719,1000,93.21858
-381.764509,1000,94.321265
-412.659122,1000,95.316973
-399.816159,1000,96.47948
-402.844539,1000,97.623641
-474.78795,1000,98.746922
-363.181638,1000,99.888783
-383.127017,1000,100.989867
-371.43413,1000,102.074402
-368.081983,1000,103.184124
-363.60959,1000,104.235748
-400.969227,1000,105.306418
-364.232747,1000,106.413968
-323.091372,1000,107.529969
-872.001189,1000,108.612169
-345.250652,1000,109.683966
-346.28698,1000,110.816318
-368.475971,1000,111.957727
-338.578087,1000,113.044494
-394.297061,1000,114.144576
-349.760042,1000,115.24048
-322.398927,1000,116.314582
-403.896143,1000,117.427966
-367.464478,1000,118.503605
-387.260376,1000,119.565198
-290.682522,1000,120.653677
-286.214369,1000,121.735429
-280.643141,1000,122.791757
-313.879975,1000,123.85705
-278.354913,1000,124.923995
-314.445445,1000,125.933163
-264.909724,1000,126.940518
-298.814843,1000,127.953373
-302.617342,1000,128.965564
-296.626278,1000,130.040464
-313.279463,1000,131.140367
-369.794849,1000,132.268749
-259.508602,1000,133.468102
-268.354884,1000,134.58842
-224.017898,1000,135.708406
-228.164264,1000,136.837687
-248.199699,1000,137.906806
-325.899567,1000,138.971032
-257.53382,1000,140.058637
-222.391133,1000,140.941982
-223.850241,1000,141.997592
-271.987854,1000,143.096376
-253.613919,1000,144.172109
-218.08969,1000,145.238793
-262.377281,1000,146.344728
-241.102495,1000,147.457214
-185.202764,1000,148.532976
-197.264392,1000,149.626419
-241.559489,1000,150.694513
-177.63596,1000,151.804826
-209.476195,1000,152.95653
-189.558812,1000,154.089976
-221.821679,1000,155.244711
-165.056038,1000,156.378414
-187.73902,1000,157.48564
-218.411971,1000,158.554936
-184.272653,1000,159.668235
-158.59495,1000,160.793208
-188.5584,1000,161.890162
-139.333362,1000,163.001258
-163.149616,1000,164.127952
-83.155082,1000,165.270679
-146.684719,1000,166.405087
-136.927013,1000,167.526147
-110.61438,1000,168.631211
-78.613405,1000,169.690949
-56.122743,1000,170.788702
-177.048477,1000,171.918426
-126.349152,1000,173.033585
-63.127936,1000,174.139194
-720.665093,1000,175.282599
-189.300095,1000,176.419572
-71.924872,1000,177.547592
-119.155157,1000,178.638576
-49.476975,1000,179.794828
-58.085434,1000,180.921364
14.471379,1000,182.018143
-91.226949,1000,183.093238
-72.264444,1000,184.178298
-179.566053,1000,185.263732
-39.469999,1000,186.374845
-40.529083,1000,187.466092
-87.896292,1000,188.385737
-19.297429,1000,189.433809
-18.928768,1000,190.446813
0.341937,1000,191.498213
-7.431866,1000,192.605278
-39.631613,1000,193.704957
-7.220447,1000,194.808743
-112.270822,1000,195.921114
-3.462123,1000,197.018627
51.450001,1000,198.100968
-108.926156,1000,199.191869
-7.21126,1000,200.300131
-8.388121,1000,201.399385
-26.85308,1000,202.456469
13.989499,1000,203.556051
-15.749962,1000,204.61296
93.649935,1000,205.600088
117.869758,1000,206.567501
-17.7755,1000,207.593192
-62.056433,1000,208.694079
13.89193,1000,209.763056
108.723481,1000,210.833367
24.113051,1000,211.940535
73.740943,1000,213.044034
96.976522,1000,214.130287
-31.391387,1000,215.218729
134.744131,1000,216.278294
90.171011,1000,217.369559
99.255456,1000,218.46219
37.137989,1000,219.56657
68.239188,1000,220.661715
53.441246,1000,221.777368
-160.199375,1000,222.887867
99.122673,1000,223.924969
64.07527,1000,224.943911
146.123967,1000,225.985328
124.738478,1000,227.08843
131.02621,1000,228.174416
-309.810563,1000,229.252188
164.139261,1000,230.305328
123.511975,1000,231.434835
147.491416,1000,232.576494
199.621632,1000,233.638206
151.161894,1000,234.573523
71.828617,1000,235.664336
220.902017,1000,236.780578
188.534867,1000,237.931606
190.777635,1000,239.100087
215.324248,1000,240.175041
146.984019,1000,241.261719
179.136927,1000,242.343347
194.657287,1000,243.449364
67.586552,1000,244.535773
224.671657,1000,245.687027
154.085617,1000,246.807651
192.674139,1000,247.951053
227.232767,1000,249.099598
260.288124,1000,250.21378
225.081209,1000,251.282908
289.759156,1000,252.392642
256.24156,1000,253.453458
254.127794,1000,254.503691
212.018162,1000,255.618655
264.830818,1000,256.720835
265.562105,1000,257.793006
303.281697,1000,258.853136
329.859751,1000,259.937495
335.138088,1000,261.04672
227.503834,1000,262.135745
298.227229,1000,263.219815
318.728629,1000,264.295872
329.142623,1000,265.359823
277.875441,1000,266.439305
267.359308,1000,267.538841
267.568639,1000,268.615594
207.143824,1000,269.71144
397.065466,1000,270.817707
274.726361,1000,271.903313
391.75797,1000,272.99825
285.185809,1000,274.100348
360.672556,1000,275.186922
347.102272,1000,276.305367
339.149813,1000,277.364913
359.917189,1000,278.456141
385.288099,1000,279.595352
354.162905,1000,280.561786
366.886062,1000,281.686778
341.147901,1000,282.809484
387.39843,1000,283.873353
406.800009,1000,284.961574
260.152055,1000,286.070888
415.8924,1000,287.16822
355.366626,1000,288.241642
356.246573,1000,289.32474
424.548043,1000,290.409569
426.707953,1000,291.506762
355.809746,1000,292.571298
396.941976,1000,293.733504
416.981384,1000,294.770881
399.912814,1000,295.86024
406.329256,1000,296.965376
417.133353,1000,298.050123
410.625613,1000,299.14958
469.361432,1000,300.283461
398.459898,1000,301.369886
494.318867,1000,302.459291
416.160853,1000,303.549308
482.539007,1000,304.600044
463.877884,1000,305.669143
481.688423,1000,306.761812
493.561571,1000,307.855731
464.158109,1000,308.978806
482.333349,1000,310.03147
318.555114,1000,311.150305
289.237112,1000,312.276855
463.789016,1000,313.312532
470.194448,1000,314.377455
482.386464,1000,315.484878
438.178853,1000,316.581043
437.594392,1000,317.643112
549.106781,1000,318.698095
464.219419,1000,319.732816
394.033586,1000,320.799434
184.061418,1000,321.897045
494.227148,1000,322.924611
536.5599,1000,324.025367
465.198825,1000,325.068141
486.745116,1000,326.176155
510.558962,1000,327.130705
467.559132,1000,328.210463
477.716924,1000,329.286947
398.717002,1000,330.366488
477.976227,1000,331.450785
507.760829,1000,332.539152
438.483338,1000,333.606632
474.210829,1000,334.712646
467.096822,1000,335.810191
