EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
20.65,1.3900923,50,50,1.5006344318389893,1016,0.0,4.2390594,-0.07759308815002441,0.0084124915,0.044254534,0.044254534
22.975,1.3097063,46,96,2.6930019855499268,2047,0.0,4.186976,0.4211850166320801,0.008733524,0.04335235,0.04335235
23.425,1.3289356,43,139,3.91322922706604,3059,0.0,4.1483045,0.4373718500137329,0.008346312,0.05093313,0.05093313
34.95,2.2401206,24,163,5.118915796279907,4033,0.0,4.114307,0.1456260085105896,0.008316472,0.040741783,0.040741783
43.45,2.6215053,23,186,6.286875247955322,5118,0.0,4.0996304,0.13264745473861694,0.00860228,0.04934718,0.04934718
42.35,2.45703,23,209,7.4467082023620605,6142,0.0,4.075774,0.16973358392715454,0.0083906995,0.043437023,0.043437023
52.775,3.1014938,15,224,8.58132815361023,7135,0.0,4.089614,0.21582835912704468,0.007859479,0.04105796,0.04105796
58.45,3.3181598,18,242,9.75993824005127,8140,0.0,4.044434,0.22613340616226196,0.008029015,0.0407928,0.0407928
64.0,3.6240067,14,256,10.957330703735352,9202,0.0,3.9889417,0.2898327708244324,0.008288255,0.03914062,0.03914062
71.6,3.8958106,12,268,12.149485111236572,10183,0.0,3.9961746,0.42876964807510376,0.007950982,0.04246006,0.04246006
73.4,4.1099496,15,283,13.329526901245117,11241,0.0,3.991499,0.4588988423347473,0.008038048,0.048725665,0.048725665
81.2,4.513665,9,292,14.524933099746704,12206,0.0,3.9364085,0.6640790402889252,0.007641498,0.041041657,0.041041657
86.2,4.855283,11,303,15.728960990905762,13253,0.0,3.9948413,0.6578640043735504,0.009013532,0.04406171,0.04406171
96.225,5.324278,7,310,16.934771060943604,14219,0.0,4.052031,0.7917620241641998,0.0071793743,0.04079626,0.04079626
107.825,5.9173155,8,318,18.076586484909058,15223,0.0,4.0751824,0.8903246074914932,0.007363512,0.041789643,0.041789643
114.125,6.1318254,10,328,19.267641067504883,16299,0.0,3.9840267,0.7333574593067169,0.00782363,0.053358816,0.053358816
117.35,6.1142707,9,337,20.480661869049072,17370,0.0,3.9664767,0.9337046518921852,0.007602136,0.13732278,0.13732278
119.675,6.1580987,8,345,21.643457174301147,18336,0.0,4.036537,0.8160406649112701,0.0069835875,0.04257743,0.04257743
117.9,5.8760138,9,354,22.828105449676514,19446,0.0,3.970254,0.9482345767319202,0.00754176,0.047463708,0.047463708
120.15,5.9348345,7,361,24.020413637161255,20377,0.0,4.0889697,0.7632491588592529,0.007140176,0.04391034,0.04391034
123.925,6.003461,9,370,25.22586178779602,21490,0.0,4.0581446,0.8229973316192627,0.0069919047,0.04508038,0.04508038
126.65,6.17182,7,377,26.39768075942993,22436,0.0,4.0677776,0.9522043354809284,0.007399967,0.044790655,0.044790655
129.05,6.263013,8,385,27.572789192199707,23498,0.0,4.061519,0.924224354326725,0.0069679343,0.051088065,0.051088065
131.35,6.3525124,7,392,28.80283761024475,24456,0.0,4.0248733,0.9619711227715015,0.007502459,0.046014093,0.046014093
133.375,6.4198427,7,399,30.006023406982422,25457,0.0,4.0966945,0.9734451081603765,0.0077212076,0.044473812,0.044473812
134.8,6.4166045,8,407,31.217095851898193,26510,0.0,4.0775,0.8753071650862694,0.006985329,0.05254212,0.05254212
137.675,6.512323,7,414,32.43170928955078,27520,0.0,4.060187,0.9652736820280552,0.0070362347,0.04679931,0.04679931
139.6,6.5024934,8,422,33.579092025756836,28653,0.0,4.0105424,0.9530308246612549,0.0073164166,0.048889905,0.048889905
140.325,6.465628,7,429,34.75810790061951,29651,0.0,4.0236316,0.9790403135120869,0.006876516,0.042864244,0.042864244
140.225,6.44111,7,436,35.930437326431274,30665,0.0,3.996378,0.9847169695422053,0.0074389474,0.050953235,0.050953235
141.85,6.4497643,7,443,37.083964586257935,31695,0.0,4.0330167,0.9855599403381348,0.0072576287,0.050598517,0.050598517
143.95,6.5558715,7,450,38.227211475372314,32705,0.0,4.024376,0.9904801454395056,0.0070076627,0.045464013,0.045464013
143.075,6.504679,7,457,39.37899041175842,33662,0.0,3.963633,0.9458464607596397,0.0067913244,0.050538465,0.050538465
143.55,6.5101266,7,464,40.51592016220093,34675,0.0,3.9824142,0.9826157260686159,0.0074856062,0.040093184,0.040093184
143.25,6.47856,8,472,41.70595908164978,35831,0.0,3.986545,0.9895603312179446,0.0072583533,0.058871683,0.058871683
144.65,6.559996,6,478,42.840943813323975,36761,0.0,3.9959779,0.9794300105422735,0.007052827,0.049886484,0.049886484
146.05,6.560538,7,485,43.984891176223755,37820,0.0,4.0552874,0.9893273552879691,0.0073592905,0.051103123,0.051103123
146.9,6.5593047,6,491,45.136324882507324,38728,0.0,4.0127835,0.8817882016301155,0.0072553707,0.05212967,0.05212967
150.6,6.6993904,7,498,46.2946982383728,39829,0.0,4.0107336,0.9788738209754229,0.006727484,0.06337904,0.06337904
149.45,6.5594726,8,506,47.47063183784485,40945,0.0,3.97522,0.8472864329814911,0.0062185633,0.05417545,0.05417545
150.725,6.582573,6,512,48.66726064682007,41860,0.0,4.010889,0.970472963526845,0.0061042965,0.04793122,0.04793122
150.975,6.528384,7,519,49.89131450653076,42951,0.0,4.0532928,0.9678595215082169,0.007693358,0.0607712,0.0607712
150.175,6.4824347,7,526,51.082619428634644,43982,0.0,3.9545112,0.9772674459964037,0.007379408,0.046613045,0.046613045
149.3,6.4192634,7,533,52.260714292526245,45048,0.0,3.973656,0.989240312948823,0.0076447013,0.045473315,0.045473315
149.8,6.433757,6,539,53.46938729286194,45964,0.0,3.925759,0.9758336246013641,0.008004953,0.048003092,0.048003092
153.1,6.629447,7,546,54.64275360107422,47069,0.0,3.945807,0.981345072388649,0.007966425,0.04741171,0.04741171
155.075,6.7042823,6,552,55.79559397697449,48063,0.0,3.946384,0.9697685986757278,0.006538576,0.048351042,0.048351042
154.875,6.7045984,7,559,56.99549198150635,49146,0.0,3.932325,0.9082093760371208,0.0073063644,0.06572785,0.06572785
156.375,6.784028,6,565,58.20410656929016,50085,0.0,3.9185956,0.9781330078840256,0.007207834,0.051069878,0.051069878
159.85,6.9683256,6,571,59.367844581604004,51130,0.0,3.920051,0.9553539268672466,0.0078271795,0.055770677,0.055770677
162.6,7.111331,6,577,60.55163264274597,52170,0.0,3.8459244,0.9086759015917778,0.0076382775,0.04778838,0.04778838
166.45,7.2664094,5,582,61.72689962387085,53087,0.0,3.8793428,0.9496648535132408,0.0069910237,0.049702227,0.049702227
171.4,7.5082116,5,587,62.899852991104126,54083,0.0,3.7626457,0.892081007361412,0.0077195102,0.057427645,0.057427645
176.375,7.8110414,6,593,64.09774231910706,55272,0.0,3.7718742,0.919658750295639,0.0076940525,0.047963046,0.047963046
181.05,8.02017,5,598,65.25442337989807,56263,0.0,3.7808235,0.9345744773745537,0.007461752,0.04821243,0.04821243
187.925,8.302698,5,603,66.37802791595459,57300,0.0,3.737825,0.9319940060377121,0.007493933,0.04952087,0.04952087
192.75,8.464987,5,608,67.45801544189453,58301,0.0,3.7721555,0.7822451442480087,0.008878558,0.048573732,0.048573732
195.65,8.548874,5,613,68.5729033946991,59329,0.0,3.7590578,0.908061146736145,0.0076135295,0.051749445,0.051749445
198.75,8.6448555,5,618,69.71538662910461,60327,0.0,3.7261033,0.9634128659963608,0.0076061883,0.05545549,0.05545549
199.625,8.644887,5,623,70.87766909599304,61285,0.0,3.782251,0.9645418077707291,0.0069472394,0.05451294,0.05451294
201.15,8.586026,5,628,72.06159210205078,62328,0.0,3.739186,0.955862782895565,0.0071428865,0.061021514,0.061021514
201.075,8.47109,5,633,73.19742035865784,63315,0.0,3.720373,0.940272606909275,0.0067783752,0.049040757,0.049040757
204.3,8.567113,5,638,74.32245469093323,64435,0.0,3.7228003,0.9636848904192448,0.00791873,0.06464294,0.06464294
206.35,8.618375,4,642,75.47904968261719,65335,0.0,3.7261744,0.9708705712109804,0.0071458025,0.05657572,0.05657572
209.15,8.685834,5,647,76.61220145225525,66449,0.0,3.736521,0.9809898026287556,0.0074668294,0.052854933,0.052854933
208.85,8.576152,5,652,77.72981190681458,67526,0.0,3.7588117,0.985070145688951,0.0074239657,0.067362234,0.067362234
212.3,8.680832,4,656,78.9131281375885,68425,0.0,3.712909,0.975194351747632,0.0072693373,0.052408196,0.052408196
215.3,8.730316,5,661,80.10479044914246,69543,0.0,3.827557,0.9796263463795185,0.0074554416,0.06830162,0.06830162
218.75,8.833613,4,665,81.26423645019531,70453,0.0,3.778171,0.9641919806599617,0.007156534,0.054414224,0.054414224
221.975,8.887919,5,670,82.43388938903809,71609,0.0,3.7619975,0.9759963639080524,0.0077230316,0.047848668,0.047848668
224.85,8.958956,4,674,83.59861326217651,72547,0.0,3.7866545,0.9835319705307484,0.0076123113,0.05581892,0.05581892
223.825,8.797554,5,679,84.76497197151184,73615,0.0,3.7417831,0.9859721977263689,0.0074989353,0.05747738,0.05747738
224.075,8.6883135,5,684,85.96018934249878,74728,0.0,3.7498884,0.9848393453285098,0.008044548,0.051371038,0.051371038
225.275,8.686279,4,688,87.15897965431213,75672,0.0,3.721706,0.9842267949134111,0.007301603,0.04644849,0.04644849
228.0,8.756441,4,692,88.29833555221558,76646,0.0,3.7975674,0.9798864051699638,0.007370454,0.06466447,0.06466447
229.95,8.806614,4,696,89.46782040596008,77623,0.0,3.7402172,0.9746796693652868,0.0073960824,0.052930992,0.052930992
231.025,8.815333,5,701,90.84031271934509,78784,0.0,3.7187004,0.978590939193964,0.008243501,0.05353012,0.05353012
231.175,8.774167,4,705,92.04407954216003,79700,0.0,3.6715055,0.9798196610063314,0.007906255,0.05853496,0.05853496
230.175,8.663111,5,710,93.26017379760742,80816,0.0,3.6920495,0.9797997213900089,0.0072511355,0.056224816,0.056224816
229.025,8.580075,4,714,94.47799348831177,81708,0.0,3.6931002,0.9906374206766486,0.008575846,0.05492818,0.05492818
231.375,8.6653,5,719,95.67130613327026,82870,0.0,3.64304,0.9783014040440321,0.008410674,0.05325438,0.05325438
230.55,8.622036,5,724,96.85869550704956,83950,0.0,3.6101427,0.8216960579156876,0.007778717,0.06869545,0.06869545
230.55,8.597548,4,728,98.02956891059875,84894,0.0,3.6346693,0.93489720672369,0.0068619754,0.056965075,0.056965075
230.575,8.568613,4,732,99.19227600097656,85869,0.0,3.6422653,0.9714174959808588,0.0076574837,0.062438067,0.062438067
229.975,8.509285,4,736,100.3454601764679,86822,0.0,3.6533701,0.9805914741009474,0.00768434,0.053127766,0.053127766
228.925,8.421237,5,741,101.53776669502258,87941,0.0,3.5834882,0.9802558161318302,0.008008965,0.059187084,0.059187084
231.425,8.479927,4,745,102.69413328170776,88957,0.0,3.6431746,0.981329096481204,0.0074029723,0.048082303,0.048082303
234.875,8.615797,4,749,103.87037897109985,89981,0.0,3.575284,0.9879384627565742,0.008400538,0.07578009,0.07578009
238.3,8.727867,4,753,105.0565357208252,91003,0.0,3.584991,0.9842872489243746,0.0074515305,0.05067995,0.05067995
240.375,8.802889,4,757,106.21287965774536,92006,0.0,3.5760918,0.9869986353442073,0.0076371795,0.047926534,0.047926534
