# {"t_start": 1554708228.502428, "env_id": "Hopper-v2"} 
r,l,t
63.727337,38,12.700549
183.844343,96,12.802136
152.986986,78,12.8839
160.279937,92,12.973667
108.487703,74,13.045687
164.106869,83,13.265549
201.395819,104,13.364869
133.350622,70,13.437115
48.763178,30,13.467934
121.87198,65,13.535469
273.467322,147,13.685686
37.492593,31,13.71718
102.012736,56,13.77458
120.193619,65,13.840382
141.000426,76,13.917572
148.282938,82,14.001132
151.729156,74,14.076185
6.989283,9,14.085488
175.125289,93,14.180365
133.285136,73,14.254033
222.263575,121,14.51911
214.753968,105,14.627975
204.851469,101,14.731921
75.850007,51,14.784107
200.28235,115,14.901774
273.545549,132,15.036796
235.259613,148,15.188532
170.173259,90,15.280995
192.789571,102,15.386622
258.101029,117,15.649524
242.479682,114,15.768229
173.897784,90,15.862976
122.581686,64,15.92972
168.635402,85,16.014099
219.707251,105,16.119048
187.810728,102,16.22159
139.972298,74,16.299505
207.131988,115,16.420179
138.051609,85,16.509486
199.240304,96,16.610909
243.57487,134,16.896499
284.526121,162,17.064955
311.576464,164,17.233793
268.670946,124,17.35948
246.752839,119,17.485161
229.388403,114,17.605097
298.65078,149,17.762157
332.066889,147,18.053603
291.738719,135,18.184762
249.267132,116,18.301048
248.463463,113,18.41515
276.812425,140,18.556786
272.49358,127,18.682876
205.992611,114,18.788148
230.825273,112,18.890927
289.394947,138,19.168312
224.756596,109,19.274997
199.915731,101,19.38055
326.48126,135,19.518981
215.265278,108,19.629834
123.018288,64,19.696182
251.091903,112,19.809508
253.202816,118,19.926221
148.47757,85,20.002527
209.884696,106,20.109029
295.990867,127,20.399514
240.610945,107,20.507974
214.621237,107,20.619841
270.435403,145,20.769917
206.287148,102,20.874054
222.328928,107,20.983353
265.82002,147,21.135899
252.845269,121,21.259082
222.406366,108,21.369477
244.218193,117,21.648297
305.850059,146,21.796674
144.349796,77,21.872443
200.210998,101,21.97076
281.259352,140,22.106279
315.774988,136,22.241805
257.311637,131,22.371137
259.3808,118,22.491471
257.607978,122,22.758448
252.610613,125,22.884362
288.584732,133,23.013165
238.360224,108,23.119262
257.453304,122,23.242973
308.822412,140,23.385877
226.027286,116,23.506531
280.685596,126,23.635674
256.699687,118,23.755999
261.016074,141,24.049721
316.093669,142,24.194967
120.657199,66,24.263069
361.544044,167,24.431706
343.360611,160,24.595005
326.023724,134,24.730055
270.847657,121,24.858507
